,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018,GDP Per Capita
56,"Salt Lake City, UT",74363.0,2.9,47945.0,9625635118.0,1028.0,82.9,1222540.0,0.060826639619153564
57,"San Angelo, TX",4675.0,3.3,3011.0,523030283.0,820.0,73.6,119711.0,0.03905238449265314
58,"Santa Rosa, CA",24985.0,3.0,20248.0,2862246417.0,1044.0,86.8,499942.0,0.049975797192474324
59,"Savannah, GA",15652.0,3.4,9443.0,2072559244.0,910.0,72.9,389494.0,0.0401854714064915
60,"Sioux Falls, SD",16016.0,2.1,9957.0,1848663215.0,925.0,82.2,265653.0,0.06028917422351714
61,"Springfield, IL",8812.0,3.9,5031.0,1780266068.0,1032.0,82.7,207636.0,0.04243965400990194
62,"Springfield, MO",16863.0,3.0,12748.0,2064865695.0,793.0,72.7,466978.0,0.03611090886508572
63,"Syracuse, NY",29234.0,4.1,16719.0,3639177798.0,936.0,68.8,650502.0,0.044940676585160384
64,"Tallahassee, FL",13834.0,3.6,10441.0,1871994580.0,840.0,85.9,385145.0,0.035918939620143066
65,"Toledo, OH",28300.0,4.7,14291.0,3437533928.0,901.0,70.2,602871.0,0.04694204896238167
66,"Topeka, KS",9205.0,3.7,6304.0,1165138021.0,829.0,73.5,232594.0,0.039575397473709556
67,"Tucson, AZ",33841.0,5.3,18704.0,4252624549.0,900.0,78.0,1039073.0,0.0325684528421006
68,"Tulsa, OK",54921.0,3.3,28324.0,5118780386.0,920.0,73.8,993797.0,0.05526380135983506
69,"Tyler, TX",14594.0,3.5,6451.0,1146293239.0,849.0,79.4,230221.0,0.06339126317755547
70,"Urban Honolulu, HI",57861.0,2.5,26423.0,6193025405.0,1015.0,79.2,980080.0,0.05903701738633581
71,"Waco, TX",10676.0,3.7,5647.0,1317858942.0,867.0,71.2,271942.0,0.039258371270344414
72,"Wichita, KS",29610.0,4.0,15611.0,3230506735.0,857.0,73.4,644888.0,0.04591494957263897
73,"Wichita Falls, TX",6483.0,3.5,3722.0,573445378.0,764.0,78.6,151306.0,0.0428469459241537
74,"Wilmington, NC",12203.0,4.0,9550.0,1390241923.0,844.0,81.4,294436.0,0.04144533956445543
75,"Winston-Salem, NC",25263.0,4.2,14186.0,2966578705.0,882.0,74.3,671456.0,0.037624207691941094
