Internet Connection Data for Cities,,,,
Internet access in 2013.,,,,
48,"Arvada, Colorado",88.40%,"5,063",+/- 993
49,"Tempe, Arizona",88.40%,"7,400","+/- 1,443"
50,"Cape Coral, Florida",88.20%,"6,742","+/- 1,294"
51,"Broken Arrow, Oklahoma",88%,"4,488",+/- 649
52,"San Diego, California",88%,"57,625","+/- 3,951"
53,"Provo, Utah",88%,"3,782",+/- 833
54,"Seattle, Washington",87.80%,"36,435","+/- 3,499"
55,"Burbank, California",87.70%,"5,240","+/- 1,275"
56,"Roseville, California",87.70%,"5,639","+/- 1,143"
57,"Richardson, Texas",87.50%,"4,781","+/- 1,194"
58,"Corona, California",87.50%,"6,024","+/- 1,100"
59,"Orange, California",87.50%,"5,265","+/- 1,179"
60,"Denton, Texas",87.30%,"5,540","+/- 1,156"
61,"Columbia, Missouri",87.30%,"5,926","+/- 1,091"
62,"Eugene, Oregon",87.30%,"8,290","+/- 1,401"
63,"Anchorage municipality, Alaska",87.20%,"13,279","+/- 1,869"
64,"Madison, Wisconsin",87.10%,"13,910","+/- 2,172"
65,"Cambridge, Massachusetts",87%,"5,623","+/- 1,132"
66,"Colorado Springs, Colorado",86.80%,"22,362","+/- 2,394"
67,"Santa Rosa, California",86.80%,"8,612","+/- 1,638"
68,"Port St. Lucie, Florida",86.70%,"7,619","+/- 1,526"
69,"Henderson, Nevada",86.50%,"14,181","+/- 2,099"
70,"McKinney, Texas",86.50%,"6,559","+/- 1,679"
71,"West Covina, California",86.20%,"4,237",+/- 874
72,"Norman, Oklahoma",86.10%,"6,232","+/- 1,237"
73,"Westminster, Colorado",86.10%,"5,796",+/- 976
74,"Tallahassee, Florida",85.90%,"10,622","+/- 1,684"
75,"Simi Valley, California",85.80%,"6,107","+/- 1,188"
76,"Fontana, California",85.70%,"6,718","+/- 1,203"
77,"Raleigh, North Carolina",85.60%,"24,552","+/- 2,829"
78,"San Buenaventura, California",85.50%,"6,078","+/- 1,162"
79,"North Las Vegas, Nevada",85.40%,"9,748","+/- 1,526"
80,"Elgin, Illinois",85.30%,"4,882","+/- 1,385"
81,"Concord, California",85.20%,"6,716","+/- 1,173"
82,"Portland, Oregon",85.20%,"37,348","+/- 3,006"
83,"Austin, Texas",85.10%,"51,895","+/- 3,992"
84,"San Francisco, California",85.10%,"52,995","+/- 3,521"
85,"West Valley City, Utah",85.10%,"5,431","+/- 1,230"
86,"Durham, North Carolina",85%,"14,911","+/- 1,853"
87,"Garland, Texas",84.90%,"11,805","+/- 1,838"
88,"Fargo, North Dakota",84.80%,"7,547","+/- 1,262"
89,"Sterling Heights, Michigan",84.70%,"7,542","+/- 1,221"
90,"Riverside, California",84.60%,"13,818","+/- 1,663"
91,"Killeen, Texas",84.60%,"6,718","+/- 1,379"
92,"Daly City, California",84.60%,"4,958","+/- 1,313"
93,"Carrollton, Texas",84.40%,"7,197","+/- 1,345"
94,"Palm Bay, Florida",84.40%,"5,966","+/- 1,368"
95,"Fairfield, California",84.40%,"5,335","+/- 1,036"
96,"Aurora, Colorado",84.40%,"19,460","+/- 2,096"
97,"Peoria, Arizona",84.20%,"9,420","+/- 1,407"
98,"Boise City, Idaho",84.10%,"13,978","+/- 2,489"
99,"Midland, Texas",84%,"6,923","+/- 1,444"
100,"Antioch, California",83.90%,"5,496","+/- 1,161"
101,"Aurora, Illinois",83.90%,"9,989","+/- 1,509"
102,"Chesapeake, Virginia",83.80%,"12,945","+/- 1,625"
103,"Chula Vista, California",83.60%,"12,579","+/- 1,994"
104,"El Cajon, California",83.60%,"5,348","+/- 1,277"
105,"Oceanside, California",83.60%,"10,373","+/- 1,744"
106,"Anaheim, California",83.50%,"16,350","+/- 2,124"
107,"Mesquite, Texas",83.30%,"7,934","+/- 1,572"
108,"Hayward, California",83.30%,"7,822","+/- 1,341"
109,"Lincoln, Nebraska",83.30%,"17,837","+/- 2,596"
110,"Stamford, Connecticut",83.30%,"8,056","+/- 1,612"
111,"Gainesville, Florida",83.30%,"8,434","+/- 1,604"
112,"Kent, Washington",83.10%,"7,396","+/- 1,369"
113,"Vancouver, Washington",83.10%,"10,804","+/- 1,788"
114,"Pasadena, California",83%,"9,239","+/- 1,507"
115,"Salt Lake City, Utah",82.90%,"12,552","+/- 1,717"
116,"Springfield, Illinois",82.70%,"8,525","+/- 1,039"
117,"Clarksville, Tennessee",82.70%,"8,833","+/- 1,270"
118,"Lexington-Fayette, Kentucky",82.40%,"21,963","+/- 2,156"
119,"Rialto, California",82.20%,"4,524",+/- 900
120,"Sioux Falls, South Dakota",82.20%,"11,841","+/- 1,606"
121,"Charleston, South Carolina",82.20%,"9,684","+/- 1,614"
122,"Murfreesboro, Tennessee",82.10%,"8,129","+/- 1,680"
123,"Minneapolis, Minnesota",82%,"30,204","+/- 2,377"
124,"Charlotte, North Carolina",82%,"53,926","+/- 3,526"
125,"Billings, Montana",82%,"7,998","+/- 1,278"
126,"Orlando, Florida",81.90%,"18,683","+/- 2,048"
127,"Salem, Oregon",81.70%,"10,891","+/- 2,006"
128,"Lubbock, Texas",81.70%,"16,246","+/- 2,029"
129,"Wilmington, North Carolina",81.40%,"9,106","+/- 1,354"
130,"Long Beach, California",81.40%,"30,745","+/- 3,014"
131,"St. Paul, Minnesota",81.40%,"20,652","+/- 1,601"
132,"Fayetteville, North Carolina",81.30%,"14,944","+/- 1,372"
133,"Cedar Rapids, Iowa",81.30%,"9,930","+/- 1,421"
134,"Lafayette, Louisiana",81.30%,"9,085","+/- 1,419"
135,"Jersey City, New Jersey",81.20%,"18,308","+/- 2,074"
136,"Irving, Texas",81.20%,"15,508","+/- 1,701"
137,"Arlington, Texas",81.10%,"25,550","+/- 2,789"
138,"Newport News, Virginia",80.80%,"12,991","+/- 1,606"
139,"Denver, Colorado",80.80%,"52,559","+/- 3,535"
140,"Moreno Valley, California",80.70%,"9,675","+/- 1,412"
141,"Visalia, California",80.70%,"8,312","+/- 1,389"
142,"Reno, Nevada",80.50%,"17,677","+/- 1,903"
143,"Spokane, Washington",80.30%,"16,977","+/- 1,928"
144,"Hollywood, Florida",80.30%,"10,734","+/- 1,819"
145,"Yonkers, New York",80.20%,"14,666","+/- 1,862"
146,"Garden Grove, California",80.10%,"9,146","+/- 1,274"
147,"Boston, Massachusetts",80.10%,"50,090","+/- 3,244"
148,"Downey, California",80.10%,"6,377","+/- 1,310"
149,"Washington, DC",80%,"54,207","+/- 3,373"
150,"Columbus, Ohio",80%,"65,954","+/- 4,168"
151,"Vallejo, California",79.90%,"8,412","+/- 1,560"
152,"Worcester, Massachusetts",79.80%,"13,520","+/- 1,738"
153,"Richmond, California",79.80%,"7,269","+/- 1,545"
154,"Oakland, California",79.80%,"31,186","+/- 2,735"
155,"Lakewood, Colorado",79.80%,"12,447","+/- 1,795"
156,"Joliet, Illinois",79.60%,"9,797","+/- 1,447"
157,"Tyler, Texas",79.40%,"7,865","+/- 1,373"
158,"Bakersfield, California",79.20%,"23,088","+/- 2,271"
159,"Urban Honolulu, Hawaii",79.20%,"26,958","+/- 2,192"
160,"Atlanta, Georgia",79.20%,"38,523","+/- 2,434"
161,"Salinas, California",79.10%,"8,434","+/- 1,392"
162,"Las Vegas, Nevada",79.10%,"43,867","+/- 2,971"
163,"Sacramento, California",78.90%,"36,939","+/- 2,873"
164,"Jacksonville, Florida",78.90%,"66,312","+/- 3,728"
165,"Hampton, Virginia",78.80%,"11,282","+/- 1,310"
166,"Glendale, California",78.80%,"14,999","+/- 2,075"
167,"Manchester, New Hampshire",78.80%,"9,690","+/- 1,521"
168,"Wichita Falls, Texas",78.60%,"8,277","+/- 1,196"
169,"Grand Prairie, Texas",78.60%,"12,755","+/- 2,005"
170,"Oklahoma City, Oklahoma",78.60%,"49,773","+/- 3,154"
171,"Nashville-Davidson, Tennessee",78.50%,"54,089","+/- 3,382"
172,"Odessa, Texas",78.50%,"8,358","+/- 1,370"
173,"Everett, Washington",78.40%,"8,925","+/- 1,757"
174,"Los Angeles, California",78.30%,"287,017","+/- 6,979"
175,"Fort Worth, Texas",78.20%,"58,622","+/- 3,665"
176,"Greensboro, North Carolina",78.20%,"25,255","+/- 2,257"
177,"Mesa, Arizona",78.20%,"36,346","+/- 2,860"
178,"Fort Lauderdale, Florida",78.10%,"16,212","+/- 2,382"
179,"New York, New York",78.10%,"675,906","+/- 12,071"
180,"Gresham, Oregon",78%,"8,535","+/- 1,490"
181,"Tucson, Arizona",78%,"45,762","+/- 3,289"
182,"Corpus Christi, Texas",77.90%,"25,610","+/- 1,990"
183,"St. Petersburg, Florida",77.80%,"23,833","+/- 2,451"
184,"High Point, North Carolina",77.80%,"9,051","+/- 1,348"
185,"Fort Wayne, Indiana",77.80%,"22,616","+/- 2,454"
186,"Las Cruces, New Mexico",77.70%,"8,766","+/- 1,689"
187,"Tampa, Florida",77.60%,"32,769","+/- 2,638"
188,"Norfolk, Virginia",77.50%,"19,243","+/- 1,867"
189,"Santa Ana, California",77.40%,"17,223","+/- 2,000"
190,"Palmdale, California",77.40%,"10,060","+/- 1,388"
191,"Pittsburgh, Pennsylvania",77.30%,"29,544","+/- 2,565"
192,"Green Bay, Wisconsin",77.30%,"9,535","+/- 1,241"
193,"Tacoma, Washington",77.30%,"18,529","+/- 2,079"
194,"Escondido, California",77.20%,"10,202","+/- 1,337"
195,"McAllen, Texas",77.10%,"9,462","+/- 1,752"
196,"Pomona, California",77.10%,"9,047","+/- 1,346"
197,"Albuquerque, New Mexico",77.10%,"49,957","+/- 3,372"
198,"Omaha, Nebraska",77.10%,"39,356","+/- 2,695"
199,"Huntsville, Alabama",76.90%,"18,402","+/- 2,242"
200,"Independence, Missouri",76.80%,"11,425","+/- 1,924"
201,"Little Rock, Arkansas",76.70%,"17,988","+/- 2,159"
202,"Pompano Beach, Florida",76.40%,"9,686","+/- 1,446"
203,"Des Moines, Iowa",76.30%,"19,418","+/- 1,805"
204,"Clearwater, Florida",76.30%,"11,105","+/- 1,846"
205,"Lakeland, Florida",76.30%,"9,134","+/- 1,379"
206,"Victorville, California",76.20%,"7,438","+/- 1,898"
207,"Athens-Clarke County, Georgia",76%,"10,555","+/- 1,388"
208,"Louisville/Jefferson, Kentucky",76%,"59,480","+/- 3,387"
209,"Montgomery, Alabama",76%,"18,837","+/- 1,803"
210,"Phoenix, Arizona",75.90%,"124,822","+/- 5,799"
211,"Bridgeport, Connecticut",75.70%,"11,714","+/- 1,670"
212,"Kansas City, Missouri",75.60%,"47,110","+/- 3,154"
213,"Grand Rapids, Michigan",75.50%,"17,717","+/- 1,539"
214,"Amarillo, Texas",75.40%,"18,482","+/- 1,706"
215,"Houston, Texas",75.10%,"202,782","+/- 7,534"
216,"Chicago, Illinois",75.10%,"256,481","+/- 5,727"
217,"Lansing, Michigan",75%,"12,255","+/- 1,738"
218,"San Antonio, Texas",74.70%,"124,833","+/- 5,190"
219,"Norwalk, California",74.60%,"6,871","+/- 1,108"
220,"Inglewood, California",74.60%,"9,331","+/- 1,490"
221,"Ontario, California",74.50%,"12,023","+/- 1,712"
222,"Winston-Salem, North Carolina",74.30%,"24,140","+/- 1,990"
223,"Modesto, California",74.30%,"17,843","+/- 2,211"
224,"Richmond, Virginia",74.30%,"22,666","+/- 1,826"
225,"Lancaster, California",74.20%,"13,052","+/- 2,245"
226,"Columbus, Georgia",74%,"18,649","+/- 1,881"
227,"Columbia, South Carolina",74%,"11,485","+/- 1,280"
228,"Indianapolis, Indiana",74%,"84,818","+/- 4,299"
229,"Peoria, Illinois",73.80%,"12,316","+/- 1,429"
230,"Tulsa, Oklahoma",73.80%,"42,675","+/- 1,944"
231,"San Angelo, Texas",73.60%,"10,033","+/- 1,691"
232,"Rockford, Illinois",73.60%,"15,360","+/- 1,355"
233,"Topeka, Kansas",73.50%,"14,411","+/- 1,702"
234,"Wichita, Kansas",73.40%,"40,170","+/- 2,993"
235,"Davenport, Iowa",73.30%,"10,903","+/- 1,309"
236,"Pasadena, Texas",73.30%,"12,222","+/- 1,702"
237,"Fresno, California",73%,"43,541","+/- 2,910"
238,"Oxnard, California",73%,"13,736","+/- 1,661"
239,"Savannah, Georgia",72.90%,"14,356","+/- 1,285"
240,"Knoxville, Tennessee",72.70%,"21,881","+/- 2,179"
241,"Springfield, Missouri",72.70%,"19,678","+/- 2,131"
242,"Baton Rouge, Louisiana",72.50%,"24,367","+/- 2,242"
243,"Stockton, California",72.50%,"24,967","+/- 2,351"
244,"Elizabeth, New Jersey",72.50%,"10,984","+/- 1,420"
245,"Lowell, Massachusetts",71.80%,"10,869","+/- 1,754"
246,"Dallas, Texas",71.50%,"135,640","+/- 5,949"
247,"Allentown, Pennsylvania",71.50%,"11,353","+/- 1,512"
248,"Chattanooga, Tennessee",71.40%,"19,608","+/- 1,927"
249,"West Palm Beach, Florida",71.30%,"11,710","+/- 1,887"
250,"El Paso, Texas",71.30%,"63,047","+/- 3,740"
251,"San Bernardino, California",71.20%,"16,198","+/- 1,941"
252,"Waco, Texas",71.20%,"13,450","+/- 1,776"
253,"Providence, Rhode Island",71%,"17,588","+/- 2,077"
254,"Warren, Michigan",70.50%,"16,169","+/- 1,911"
255,"Augusta-Richmond County, Georgia",70.40%,"20,427","+/- 2,091"
256,"Philadelphia, Pennsylvania",70.20%,"173,795","+/- 5,793"
257,"Toledo, Ohio",70.20%,"35,363","+/- 2,326"
258,"Erie, Pennsylvania",70.10%,"12,217","+/- 1,341"
259,"Cincinnati, Ohio",69.70%,"40,361","+/- 2,794"
260,"Pueblo, Colorado",69.70%,"12,787","+/- 1,334"
261,"Baltimore, Maryland",69.60%,"74,116","+/- 3,610"
262,"Springfield, Massachusetts",69.40%,"16,974","+/- 1,599"
263,"Glendale, Arizona",69%,"24,628","+/- 2,358"
264,"Abilene, Texas",68.90%,"13,208","+/- 1,681"
265,"Milwaukee, Wisconsin",68.80%,"72,129","+/- 3,361"
266,"Syracuse, New York",68.80%,"17,170","+/- 1,744"
267,"North Charleston, South Carolina",68.80%,"11,547","+/- 1,356"
268,"South Bend, Indiana",68.70%,"12,675","+/- 1,331"
269,"Akron, Ohio",68.20%,"26,112","+/- 2,114"
270,"St. Louis, Missouri",68.10%,"44,815","+/- 3,116"
271,"Shreveport, Louisiana",67.90%,"24,934","+/- 2,276"
272,"Newark, New Jersey",67.80%,"29,992","+/- 2,686"
273,"Memphis, Tennessee",67.70%,"80,922","+/- 4,437"
274,"Buffalo, New York",67.40%,"35,679","+/- 2,443"
275,"Kansas City, Kansas",67.20%,"17,223","+/- 1,547"
276,"Mobile, Alabama",66.50%,"24,794","+/- 2,192"
277,"Waterbury, Connecticut",66.30%,"13,421","+/- 1,938"
278,"New Orleans, Louisiana",66.20%,"53,572","+/- 2,249"
279,"Paterson, New Jersey",66%,"15,047","+/- 1,869"
280,"Rochester, New York",65.90%,"29,448","+/- 2,517"
281,"Dayton, Ohio",65.80%,"20,180","+/- 2,010"
282,"Beaumont, Texas",65.60%,"15,391","+/- 1,950"
283,"Evansville, Indiana",64.70%,"17,530","+/- 1,760"
284,"New Haven, Connecticut",64.10%,"17,939","+/- 1,883"
285,"Cleveland, Ohio",63.90%,"59,403","+/- 2,886"
286,"Miami Gardens, Florida",63.60%,"11,467","+/- 1,604"
287,"Miami, Florida",63.20%,"56,886","+/- 3,208"
288,"Jackson, Mississippi",61.20%,"24,912","+/- 2,264"
289,"Brownsville, Texas",61.10%,"19,340","+/- 2,009"
290,"Birmingham, Alabama",61%,"34,626","+/- 2,315"
291,"Hialeah, Florida",60.70%,"27,648","+/- 2,801"
292,"Detroit, Michigan",60.10%,"101,923","+/- 3,568"
293,"Laredo, Texas",59.80%,"26,376","+/- 2,000"
294,"El Monte, California",58%,"13,190","+/- 1,655"
295,"Hartford, Connecticut",57.70%,"19,539","+/- 1,965"
296,"Santa Maria, California",56.10%,"11,942","+/- 1,429"
