County,Quarterly,January,February,March,Total,Average,March,Total
"Columbia County, Arkansas",665,"6,305","6,310","6,336","65,596,068",799,0.92,0.93
"Conway County, Arkansas",484,"4,796","4,848","4,964","48,724,017",770,0.9,0.91
"Craighead County, Arkansas","2,778","43,803","43,967","44,267","444,148,575",776,1.01,0.99
"Crawford County, Arkansas","1,209","17,180","17,216","17,363","157,940,917",704,1.04,1.03
"Crittenden County, Arkansas","1,147","13,394","13,525","13,532","125,671,350",717,0.98,0.97
"Cross County, Arkansas",452,"3,620","3,623","3,669","29,208,999",618,0.91,0.87
"Dallas County, Arkansas",209,"2,311","2,258","2,304","20,060,095",674,1.01,1.03
"Desha County, Arkansas",503,"3,687","3,697","3,740","34,412,540",714,0.94,0.94
"Drew County, Arkansas",488,"4,676","4,643","4,659","38,402,780",634,0.84,0.82
"Faulkner County, Arkansas","2,832","33,658","33,838","33,905","333,127,622",758,0.98,0.95
"Franklin County, Arkansas",342,"3,685","3,712","3,727","33,379,116",692,0.92,0.89
"Fulton County, Arkansas",181,"1,378","1,380","1,401","10,817,139",600,0.81,0.81
"Garland County, Arkansas","3,005","33,042","33,317","33,565","294,937,195",681,1.04,1
"Grant County, Arkansas",328,"3,430","3,413","3,435","35,403,334",795,0.95,0.96
"Greene County, Arkansas",847,"13,395","13,457","13,576","128,221,833",732,1.02,1.01
"Hempstead County, Arkansas",475,"6,248","6,252","6,242","57,269,168",705,0.93,0.92
"Hot Spring County, Arkansas",575,"6,179","6,226","6,325","57,000,492",702,0.91,0.89
"Howard County, Arkansas",331,"5,946","5,940","5,924","49,571,298",642,1.03,1.02
"Independence County, Arkansas",851,"13,959","13,920","14,100","134,855,847",741,1.02,1.02
"Izard County, Arkansas",231,"2,195","2,163","2,207","17,265,719",607,0.82,0.79
"Jackson County, Arkansas",389,"3,804","3,812","3,862","37,271,548",749,0.86,0.87
"Jefferson County, Arkansas","1,954","19,880","19,867","19,785","202,210,133",784,0.86,0.83
"Johnson County, Arkansas",466,"7,316","7,343","7,381","56,834,442",595,1.01,0.98
"Lafayette County, Arkansas",142,747,759,754,"5,756,195",588,0.73,0.74
"Lawrence County, Arkansas",373,"3,049","3,026","3,051","24,515,848",620,0.91,0.91
"Lee County, Arkansas",245,"1,143","1,134","1,154","9,627,586",648,0.72,0.7
"Lincoln County, Arkansas",273,"1,605","1,584","1,607","12,848,432",618,0.67,0.59
"Little River County, Arkansas",220,"2,595","2,625","2,665","43,043,885","1,260",0.89,1
"Logan County, Arkansas",463,"3,767","3,800","3,807","32,340,919",656,0.86,0.87
"Lonoke County, Arkansas","1,271","10,987","11,108","11,171","94,792,746",658,0.94,0.92
"Madison County, Arkansas",241,"2,673","2,702","2,698","23,504,338",672,0.95,0.94
"Marion County, Arkansas",261,"3,279","3,298","3,298","25,860,876",604,1,1
"Miller County, Arkansas",845,"11,031","10,964","10,977","109,231,403",765,0.99,0.98
"Mississippi County, Arkansas","1,030","15,055","15,198","15,281","209,106,381","1,060",1.01,1.05
"Monroe County, Arkansas",254,"1,628","1,627","1,625","12,049,176",570,0.93,0.9
"Montgomery County, Arkansas",148,715,734,769,"4,426,115",461,0.69,0.61
"Nevada County, Arkansas",165,"2,045","2,065","2,036","22,208,685",834,0.96,1.01
"Ouachita County, Arkansas",613,"5,021","5,058","5,061","44,128,423",673,0.86,0.87
"Perry County, Arkansas",124,733,723,729,"5,918,821",625,0.77,0.76
"Phillips County, Arkansas",694,"4,238","4,247","4,301","33,356,657",602,0.93,0.9
"Pike County, Arkansas",238,"2,002","1,989","2,038","16,140,925",618,0.91,0.9
"Poinsett County, Arkansas",445,"3,993","3,987","3,997","40,638,843",783,0.9,0.93
"Polk County, Arkansas",459,"4,827","4,836","4,854","38,356,924",610,0.96,0.95
"Pope County, Arkansas","1,819","22,028","22,099","22,059","228,168,912",796,0.99,0.99
"Prairie County, Arkansas",226,"1,050","1,038","1,056","8,625,668",633,0.87,0.86
"Pulaski County, Arkansas","14,213","200,280","200,701","200,553","2,529,942,911",971,0.94,0.9
"Randolph County, Arkansas",358,"4,591","4,616","4,657","36,816,995",613,0.94,0.94
"St. Francis County, Arkansas",639,"5,285","5,266","5,298","42,678,969",621,0.86,0.76
"Saline County, Arkansas","2,037","20,595","20,498","20,608","181,564,685",679,0.99,0.96
"Scott County, Arkansas",171,"2,379","2,395","2,391","17,636,572",568,0.92,0.9
"Searcy County, Arkansas",154,"1,074","1,074","1,103","7,168,534",509,0.87,0.82
"Sebastian County, Arkansas","3,646","57,441","57,187","57,106","644,173,974",866,1.04,1.03
"Sevier County, Arkansas",295,"3,640","3,660","3,508","30,575,057",653,0.88,0.9
"Sharp County, Arkansas",349,"2,685","2,678","2,707","19,214,792",549,0.89,0.88
"Stone County, Arkansas",257,"2,049","2,039","2,111","14,949,073",557,0.92,0.89
"Union County, Arkansas","1,237","14,954","14,869","14,923","224,407,954","1,157",1.01,1.06
"Van Buren County, Arkansas",308,"2,663","2,650","2,691","22,683,312",654,0.94,0.94
"Washington County, Arkansas","6,200","90,678","91,292","91,554","991,690,704",837,0.99,0.94
"White County, Arkansas","1,734","20,308","20,387","20,502","186,925,484",705,1.01,1
"Woodruff County, Arkansas",187,"1,227","1,230","1,234","11,161,230",698,0.86,0.86
"Yell County, Arkansas",382,"5,263","5,263","5,251","39,339,795",575,0.94,0.9
"Alameda County, California","64,371","672,759","675,140","678,207","13,533,779,218","1,541",1.01,0.99
"Alpine County, California",68,936,865,795,"6,829,543",607,0.89,0.81
"Amador County, California","1,066","7,268","7,372","7,477","74,502,557",777,0.72,0.63
"Butte County, California","8,152","64,401","65,766","65,492","687,301,212",811,0.95,0.9
"Calaveras County, California","1,249","6,576","6,675","6,736","56,268,973",650,0.84,0.72
"Colusa County, California",813,"5,987","6,280","6,348","61,563,294",763,0.88,0.82
"Contra Costa County, California","32,955","316,530","317,581","319,055","5,838,185,325","1,413",1.02,1.01
"Del Norte County, California",719,"4,398","4,436","4,526","41,353,161",714,0.65,0.58
"El Dorado County, California","5,478","46,588","46,327","46,161","567,553,374",942,0.95,0.92
"Fresno County, California","35,912","315,653","314,186","315,999","3,239,518,551",790,0.95,0.89
"Glenn County, California","1,149","6,855","7,022","6,986","66,784,760",739,0.9,0.83
"Humboldt County, California","5,325","36,508","37,135","37,254","351,527,806",732,0.87,0.79
"Imperial County, California","7,536","45,031","44,754","45,493","351,689,736",600,0.83,0.64
"Inyo County, California",618,"4,409","4,425","4,465","41,863,993",726,0.7,0.58
"Kern County, California","19,486","258,457","255,404","246,413","2,878,869,795",874,0.92,0.86
"Kings County, California","3,928","32,634","32,502","32,257","325,691,533",772,0.8,0.72
"Lake County, California","3,112","12,025","12,314","12,172","119,722,048",757,0.87,0.83
"Lassen County, California",559,"3,922","3,841","3,686","33,438,407",674,0.45,0.34
"Los Angeles County, California","499,052","3,866,301","3,924,259","3,902,137","63,738,739,006","1,258",1.02,0.99
"Madera County, California","4,218","39,324","39,915","38,493","407,604,359",799,0.91,0.86
"Marin County, California","12,336","98,527","99,058","99,600","1,901,673,167","1,477",1.02,1.01
"Mariposa County, California",480,"3,059","3,226","3,294","24,344,458",586,0.74,0.55
"Mendocino County, California","4,084","24,757","25,089","25,272","235,500,553",723,0.93,0.86
"Merced County, California","6,569","60,102","60,377","60,620","588,163,877",749,0.9,0.82
"Modoc County, California",302,"1,245","1,253","1,273","10,315,474",631,0.64,0.54
"Mono County, California",590,"6,570","6,390","6,392","54,548,912",650,0.95,0.8
"Monterey County, California","13,590","137,850","141,026","144,554","1,554,809,922",847,0.95,0.84
"Napa County, California","5,606","64,526","66,569","67,261","896,262,379","1,043",1.02,0.97
"Nevada County, California","3,615","26,090","25,868","25,914","265,410,365",787,0.94,0.87
"Orange County, California","123,841","1,473,634","1,479,376","1,482,124","24,436,814,222","1,271",1.06,1.04
"Placer County, California","13,332","151,125","151,428","151,138","2,114,101,230","1,075",1.04,1.01
"Plumas County, California",806,"3,502","3,486","3,506","34,270,637",754,0.71,0.63
"Riverside County, California","66,511","614,504","614,632","619,126","6,685,130,272",835,0.97,0.86
"Sacramento County, California","55,172","493,500","495,520","497,771","6,969,903,552","1,082",0.87,0.77
"San Benito County, California","1,569","13,125","13,241","13,384","154,989,009",900,0.96,0.89
"San Bernardino County, California","60,493","635,892","635,156","633,951","7,233,793,403",876,0.98,0.91
"San Diego County, California","112,716","1,224,783","1,231,063","1,232,652","19,801,408,888","1,239",0.99,0.97
"San Francisco County, California","60,534","639,870","647,818","650,646","24,318,399,679","2,895",1.02,1.05
"San Joaquin County, California","17,712","206,242","207,018","207,464","2,304,849,273",857,0.97,0.9
"San Luis Obispo County, California","10,096","95,406","96,874","98,030","1,146,283,947",911,0.96,0.9
"San Mateo County, California","28,446","372,854","374,808","375,929","13,321,098,179","2,736",1.08,1.11
"Santa Barbara County, California","15,310","158,831","160,940","163,453","2,127,089,063","1,016",0.97,0.92
"Santa Clara County, California","72,983","1,007,113","1,012,101","1,014,706","37,652,590,422","2,864",1.08,1.11
"Santa Cruz County, California","9,447","80,498","82,533","83,166","1,032,832,376",968,0.96,0.9
"Shasta County, California","6,814","53,419","52,301","53,422","557,419,445",808,0.95,0.89
"Sierra County, California",99,189,183,198,"1,137,215",460,0.46,0.31
"Siskiyou County, California","1,590","9,165","9,005","9,050","85,687,806",726,0.81,0.74
"Solano County, California","11,345","115,622","116,049","116,158","1,876,537,614","1,245",0.97,0.95
"Sonoma County, California","19,942","178,989","180,381","181,164","2,493,175,418","1,064",1.02,1
"Stanislaus County, California","15,737","156,627","157,544","158,807","1,856,486,740",906,0.99,0.94
"Sutter County, California","3,270","24,319","24,664","25,043","242,872,239",757,0.98,0.92
"Tehama County, California","1,855","14,163","14,180","14,174","144,883,779",786,0.91,0.87
"Trinity County, California",409,"1,601","1,582","1,570","13,601,754",660,0.72,0.61
"Tulare County, California","10,828","125,969","125,350","123,999","1,177,876,594",724,0.93,0.84
"Tuolumne County, California","1,555","11,985","11,846","12,003","125,476,969",808,0.81,0.75
"Ventura County, California","27,413","278,034","280,714","283,088","4,127,424,148","1,131",1.01,0.98
"Yolo County, California","6,599","68,488","69,177","69,932","870,085,729",967,0.79,0.64
"Yuba County, California","1,580","10,884","11,011","11,044","132,250,781",927,0.73,0.66
"Unknown Or Undefined, California","49,456","388,678","393,954","393,490","10,298,398,091","2,021",1.16,1.15
"Adams County, Colorado","11,261","176,616","176,733","176,267","2,287,772,253",997,0.95,0.87
"Alamosa County, Colorado",561,"6,064","6,122","6,212","58,121,212",729,0.89,0.86
"Arapahoe County, Colorado","22,170","290,051","290,910","290,814","5,635,338,702","1,492",1.04,1.07
"Archuleta County, Colorado",561,"3,172","3,102","3,161","24,917,565",609,0.92,0.8
"Baca County, Colorado",85,432,432,426,"3,433,568",614,0.46,0.44
"Bent County, Colorado",78,591,590,612,"5,146,694",662,0.68,0.66
"Boulder County, Colorado","15,607","154,026","155,069","155,055","2,907,414,167","1,446",0.99,1
"Broomfield County, Colorado","2,852","38,150","38,170","38,121","991,634,454","2,000",1.13,1.14
"Chaffee County, Colorado","1,000","5,738","5,759","5,910","47,512,944",630,0.88,0.76
"Cheyenne County, Colorado",72,409,405,415,"5,007,457",940,0.7,0.79
"Clear Creek County, Colorado",355,"2,763","2,797","2,797","33,802,290",933,0.98,0.97
"Conejos County, Colorado",145,872,877,886,"7,195,247",630,0.72,0.75
"Costilla County, Colorado",74,542,533,527,"4,585,065",660,0.7,0.75
"Crowley County, Colorado",45,566,558,554,"5,190,345",714,0.61,0.54
"Custer County, Colorado",130,514,508,473,"4,026,989",622,0.76,0.76
"Delta County, Colorado",866,"5,857","5,835","5,849","48,005,344",632,0.83,0.74
"Denver County, Colorado","33,460","446,299","448,098","448,893","9,164,312,455","1,574",1.02,1.03
"Dolores County, Colorado",65,284,281,270,"2,614,230",722,0.64,0.66
"Douglas County, Colorado","12,299","113,714","112,976","112,893","2,092,025,463","1,422",1.05,1.08
"Eagle County, Colorado","3,470","32,860","32,702","32,525","376,703,730",886,1.07,1.04
"Elbert County, Colorado",656,"2,600","2,574","2,609","30,061,727",891,0.84,0.91
"El Paso County, Colorado","20,022","224,241","225,040","225,031","2,954,141,034","1,011",0.96,0.93
"Fremont County, Colorado",880,"8,096","8,032","8,177","71,191,443",676,0.72,0.6
"Garfield County, Colorado","2,590","20,096","20,056","20,441","258,507,252",985,0.94,0.93
"Gilpin County, Colorado",157,"4,181","4,193","4,187","48,408,051",889,1.06,1.03
"Grand County, Colorado",807,"6,909","6,896","6,792","55,308,663",620,0.98,0.9
"Gunnison County, Colorado","1,166","6,700","6,747","6,727","60,145,348",688,0.9,0.83
"Huerfano County, Colorado",155,"1,207","1,186","1,215","11,699,331",748,0.85,0.86
"Jackson County, Colorado",73,360,411,397,"4,155,555",821,0.85,0.89
"Jefferson County, Colorado","20,238","202,433","202,744","202,782","3,262,926,553","1,239",1,1
"Kiowa County, Colorado",37,212,213,212,"2,451,814",888,0.52,0.68
"Kit Carson County, Colorado",259,"2,046","2,034","2,015","18,790,485",711,0.86,0.87
"Lake County, Colorado",223,"1,803","1,821","1,800","19,137,124",814,0.85,0.86
"La Plata County, Colorado","2,560","19,877","19,777","19,789","227,239,825",882,0.92,0.91
"Larimer County, Colorado","12,340","126,096","126,530","126,805","1,756,669,070","1,068",0.93,0.92
"Las Animas County, Colorado",532,"3,501","3,491","3,486","32,189,704",709,0.83,0.81
"Lincoln County, Colorado",131,"1,214","1,210","1,201","10,195,708",649,0.64,0.55
"Logan County, Colorado",603,"5,485","5,516","5,521","54,746,578",765,0.83,0.8
"Mesa County, Colorado","4,888","52,005","52,698","53,240","574,381,991",839,0.99,0.96
"Mineral County, Colorado",61,606,554,578,"4,687,001",622,0.98,0.99
"Moffat County, Colorado",417,"3,631","3,576","3,604","47,082,829","1,005",0.92,0.95
"Montezuma County, Colorado",864,"6,162","6,277","6,294","56,110,580",691,0.84,0.81
"Montrose County, Colorado","1,321","12,008","11,971","12,015","110,024,344",705,0.93,0.86
"Morgan County, Colorado",769,"10,354","10,354","10,417","117,976,816",875,0.98,0.99
"Otero County, Colorado",444,"4,393","4,377","4,412","39,893,791",698,0.85,0.85
"Ouray County, Colorado",320,"1,374","1,362","1,330","12,987,443",737,0.91,0.89
"Park County, Colorado",520,"1,551","1,567","1,527","15,456,577",768,0.78,0.78
"Phillips County, Colorado",145,"1,058","1,048","1,031","9,422,134",693,0.74,0.71
"Pitkin County, Colorado","1,815","16,389","16,257","16,178","203,316,167",961,1.03,0.99
"Prowers County, Colorado",345,"3,125","3,133","3,142","26,105,021",641,0.83,0.77
"Pueblo County, Colorado","3,389","48,609","48,821","49,104","518,026,420",816,0.95,0.91
"Rio Blanco County, Colorado",229,"1,617","1,604","1,610","25,015,283","1,195",0.69,0.8
"Rio Grande County, Colorado",397,"2,900","2,904","2,996","28,133,870",738,0.89,0.88
"Routt County, Colorado","1,781","14,095","13,954","13,870","149,626,947",824,1,0.96
"Saguache County, Colorado",178,986,968,"1,006","7,546,839",588,0.76,0.75
"San Juan County, Colorado",69,209,204,201,"1,229,431",462,0.81,0.71
"San Miguel County, Colorado",676,"5,433","5,464","5,427","54,633,830",772,1.02,0.99
"Sedgwick County, Colorado",72,456,450,462,"4,464,823",753,0.68,0.73
"Summit County, Colorado","2,287","22,352","22,231","22,005","212,985,702",738,1.06,1.01
"Teller County, Colorado",876,"5,654","5,702","5,679","61,016,628",827,0.94,0.94
"Washington County, Colorado",125,729,724,717,"10,629,569","1,130",0.69,0.86
"Weld County, Colorado","7,455","94,456","95,579","95,782","1,375,887,246","1,111",1.01,1.03
"Yuma County, Colorado",390,"3,293","3,299","3,350","34,578,511",803,0.9,0.91
"Fairfield County, Connecticut","35,982","366,453","365,197","366,907","10,296,963,856","2,163",1.05,1.08
"Hartford County, Connecticut","28,234","437,476","436,458","437,679","8,556,949,381","1,506",1.02,1.02
"Litchfield County, Connecticut","5,853","52,707","51,895","52,096","601,756,745",886,1.02,0.98
"Middlesex County, Connecticut","5,221","57,873","57,614","57,851","830,295,601","1,105",1.01,0.98
