,Metropolitan Areas,Pop Est Jul 2018
814,"Pinehurst-Southern Pines, NC",98682
815,"Pittsburg, KS",39019
816,"Plainview, TX",33830
817,"Platteville, WI",51554
818,"Plattsburgh, NY",80695
819,"Plymouth, IN",46248
820,"Point Pleasant, WV-OH",56697
821,"Ponca City, OK",44161
822,"Pontiac, IL",35761
823,"Poplar Bluff, MO",42639
824,"Portales, NM",18743
825,"Port Angeles, WA",76737
826,"Port Clinton, OH",40769
827,"Port Lavaca, TX",21561
828,"Portsmouth, OH",75502
829,"Pottsville, PA",142067
830,"Price, UT",20269
831,"Prineville, OR",23867
832,"Pullman, WA",49791
833,"Quincy, IL-MO",75546
834,"Raymondville, TX",21515
835,"Red Bluff, CA",63916
836,"Red Wing, MN",46403
837,"Rexburg, ID",52472
838,"Richmond, IN",65936
839,"Richmond-Berea, KY",109118
840,"Rio Grande City, TX",64525
841,"Riverton, WY",39531
842,"Roanoke Rapids, NC",70250
843,"Rochelle, IL",50923
844,"Rockingham, NC",44887
845,"Rock Springs, WY",43051
846,"Rolla, MO",44732
847,"Roseburg, OR",110283
848,"Roswell, NM",64689
849,"Ruidoso, NM",19556
850,"Russellville, AR",85535
851,"Ruston, LA",47196
852,"Rutland, VT",58672
853,"Safford, AZ",38072
854,"St. Marys, GA",53677
855,"St. Marys, PA",30169
856,"Salem, OH",102665
857,"Salina, KS",60203
858,"Sandpoint, ID",44727
859,"Sandusky, OH",74615
860,"Sanford, NC",61452
861,"Sault Ste. Marie, MI",37517
862,"Sayre, PA",60833
863,"Scottsbluff, NE",37906
864,"Scottsboro, AL",51736
865,"Searcy, AR",78727
866,"Sedalia, MO",42542
867,"Selinsgrove, PA",40540
868,"Selma, AL",38310
869,"Seneca, SC",78374
870,"Seneca Falls, NY",34300
871,"Sevierville, TN",97892
872,"Seymour, IN",44111
873,"Shawano, WI",45454
874,"Shawnee, OK",72679
875,"Shelby, NC",97645
876,"Shelbyville, TN",49038
877,"Shelton, WA",65507
878,"Sheridan, WY",30233
879,"Show Low, AZ",110445
880,"Sidney, OH",48627
881,"Sikeston, MO",38458
882,"Silver City, NM",27346
883,"Snyder, TX",16866
884,"Somerset, KY",64623
885,"Somerset, PA",73952
886,"Sonora, CA",54539
887,"Spearfish, SD",25741
888,"Spencer, IA",16134
889,"Spirit Lake, IA",17153
890,"Starkville, MS",49599
891,"Statesboro, GA",77296
892,"Steamboat Springs, CO",25733
893,"Stephenville, TX",42446
894,"Sterling, CO",21528
895,"Sterling, IL",55626
896,"Stevens Point, WI",70942
897,"Stillwater, OK",82040
898,"Storm Lake, IA",19874
899,"Sturgis, MI",61043
900,"Sulphur Springs, TX",36810
901,"Summerville, GA",24790
902,"Summit Park, UT",41933
903,"Sunbury, PA",91083
904,"Susanville, CA",30802
905,"Sweetwater, TX",14751
906,"Tahlequah, OK",48675
907,"Talladega-Sylacauga, AL",90543
908,"Taos, NM",32835
909,"Taylorville, IL",32661
910,"The Dalles, OR",26505
911,"Thomaston, GA",26215
912,"Thomasville, GA",44448
913,"Tiffin, OH",55207
914,"Tifton, GA",40571
915,"Toccoa, GA",26035
916,"Torrington, CT",181111
917,"Traverse City, MI",149914
918,"Troy, AL",33338
919,"Truckee-Grass Valley, CA",99696
920,"Tullahoma-Manchester, TN",104001
921,"Tupelo, MS",140552
922,"Ukiah, CA",87606
923,"Union City, TN-KY",36387
924,"Urbana, OH",38754
925,"Uvalde, TX",26846
926,"Valley, AL",33615
927,"Van Wert, OH",28281
928,"Vermillion, SD",14041
929,"Vernal, UT",35438
930,"Vernon, TX",12820
931,"Vicksburg, MS",55178
932,"Vidalia, GA",36080
933,"Vincennes, IN",36895
934,"Vineyard Haven, MA",17352
935,"Wabash, IN",31280
936,"Wahpeton, ND-MN",22493
937,"Wapakoneta, OH",45804
938,"Warren, PA",39498
939,"Warrensburg, MO",53652
940,"Warsaw, IN",79344
941,"Washington, IN",33147
942,"Washington, NC",47079
943,"Washington Court House, OH",28666
944,"Watertown, SD",28015
945,"Watertown-Fort Atkinson, WI",85129
946,"Wauchula, FL",27245
947,"Waycross, GA",55069
948,"Weatherford, OK",29036
949,"West Plains, MO",40076
950,"West Point, MS",19386
951,"Whitewater-Elkhorn, WI",103718
952,"Williston, ND",35350
953,"Willmar, MN",42855
954,"Wilmington, OH",42057
955,"Wilson, NC",81455
956,"Winnemucca, NV",16786
957,"Winona, MN",50825
958,"Wisconsin Rapids-Marshfield, WI",73055
959,"Woodward, OK",20222
960,"Wooster, OH",115967
961,"Worthington, MN",21924
962,"Yankton, SD",22869
963,"Zanesville, OH",86183
964,"Zapata, TX",14190
965,Puerto Rico,3195153
966,In metropolitan statistical area,3054478
967,"Aguadilla-Isabela, PR",289735
968,"Arecibo, PR",174271
969,"Guayama, PR",73000
970,"Mayagüez, PR",87448
971,"Ponce, PR",285709
972,"San Germán, PR",121078
973,"San Juan-Carolina-Caguas, PR",2023237
974,In micropolitan statistical area,117214
975,"Adjuntas, PR",17302
976,"Coamo, PR",37845
977,"Coco, PR",27083
978,"Jayuya, PR",13947
979,"Santa Isabel, PR",21037
